Datetime_Kyiv,Direction,Entry_Price,Sovereign_Risk_Short,Outcome,Hold_Bars
2010-05-07 15:00:00,Short,1.4665,1.0,Loss,8
2016-06-24 11:00:00,Short,1.38066,1.0,Win,8
2022-10-14 19:00:00,Short,1.12059,1.0,Loss,8
