Datetime_Kyiv,Direction,Entry_Price,Algo_Vol_Crush_Short,Outcome,Hold_Bars
2001-12-31 04:00:00,Short,1.4509,1.0,Win,8
2002-01-02 16:00:00,Short,1.4448,1.0,Loss,8
2002-01-03 02:00:00,Short,1.4465,1.0,Loss,8
2002-01-07 10:00:00,Short,1.4475,1.0,Win,8
2002-01-08 03:00:00,Short,1.4384,1.0,Loss,8
2002-01-09 02:00:00,Short,1.4399,1.0,Loss,8
2002-01-14 03:00:00,Short,1.4495,1.0,Loss,8
2002-01-16 04:00:00,Short,1.44,1.0,Win,8
2002-01-21 07:00:00,Short,1.4386,1.0,Win,8
2002-01-28 03:00:00,Short,1.4098,1.0,Loss,8
2002-01-30 16:00:00,Short,1.4119,1.0,Loss,8
2002-01-31 03:00:00,Short,1.415,1.0,Loss,8
2002-02-07 01:00:00,Short,1.4128,1.0,Loss,8
2002-02-18 03:00:00,Short,1.4331,1.0,Loss,8
2002-02-26 20:00:00,Short,1.4159,1.0,Loss,8
2002-03-18 03:00:00,Short,1.4224,1.0,Loss,8
2002-04-01 17:00:00,Short,1.4388,1.0,Loss,8
2002-04-02 19:00:00,Short,1.4362,1.0,Win,8
2002-04-29 04:00:00,Short,1.4584,1.0,Loss,8
2002-05-01 19:00:00,Short,1.4626,1.0,Loss,8
2002-05-07 20:00:00,Short,1.4675,1.0,Win,8
2002-05-08 20:00:00,Short,1.4558,1.0,Loss,8
2002-05-13 03:00:00,Short,1.4629,1.0,Loss,8
2002-05-14 17:00:00,Short,1.4484,1.0,Loss,8
2002-05-15 23:00:00,Short,1.4598,1.0,Win,8
2002-05-20 08:00:00,Short,1.4625,1.0,Win,8
2002-05-21 17:00:00,Short,1.4559,1.0,Loss,8
2002-05-28 19:00:00,Short,1.4622,1.0,Win,8
2002-06-03 04:00:00,Short,1.4558,1.0,Loss,8
2002-06-04 17:00:00,Short,1.4619,1.0,Win,8
2002-06-11 11:00:00,Short,1.4667,1.0,Loss,8
2002-06-17 03:00:00,Short,1.4766,1.0,Loss,8
2002-06-18 21:00:00,Short,1.4934,1.0,Win,8
2002-06-24 03:00:00,Short,1.497,1.0,Loss,8
2002-06-25 21:00:00,Short,1.5061,1.0,Loss,8
2002-06-26 11:00:00,Short,1.5243,1.0,Win,8
2002-07-01 03:00:00,Short,1.533,1.0,Win,8
2002-07-03 12:00:00,Short,1.5261,1.0,Win,8
2002-07-08 05:00:00,Short,1.531,1.0,Loss,8
2002-07-10 11:00:00,Short,1.5517,1.0,Win,8
2002-07-15 04:00:00,Short,1.5535,1.0,Loss,8
2002-07-17 12:00:00,Short,1.5697,1.0,Loss,8
2002-07-19 07:00:00,Short,1.5821,1.0,Win,8
2002-07-22 20:00:00,Short,1.579,1.0,Win,8
2002-07-23 23:00:00,Short,1.559,1.0,Loss,8
2002-07-24 11:00:00,Short,1.5638,1.0,Loss,8
2002-07-29 03:00:00,Short,1.5657,1.0,Loss,8
2002-08-02 14:00:00,Short,1.5707,1.0,Win,8
2002-08-08 15:00:00,Short,1.5285,1.0,Loss,8
2002-08-27 19:00:00,Short,1.531,1.0,Loss,8
2002-09-05 19:00:00,Short,1.5667,1.0,Win,8
2002-09-10 12:00:00,Short,1.5548,1.0,Win,8
2002-09-11 18:00:00,Short,1.548,1.0,Loss,8
2002-09-13 21:00:00,Short,1.5516,1.0,Win,8
2002-09-18 17:00:00,Short,1.546,1.0,Loss,8
2002-09-19 22:00:00,Short,1.5557,1.0,Loss,8
2002-09-23 19:00:00,Short,1.558,1.0,Win,8
2002-10-04 17:00:00,Short,1.5685,1.0,Win,8
2002-10-15 12:00:00,Short,1.5499,1.0,Loss,8
2002-10-28 19:00:00,Short,1.5606,1.0,Win,8
2002-10-31 18:00:00,Short,1.5635,1.0,Loss,8
2002-11-01 14:00:00,Short,1.5647,1.0,Win,8
2002-11-05 11:00:00,Short,1.5637,1.0,Loss,8
2002-11-06 22:00:00,Short,1.5645,1.0,Win,8
2002-11-07 11:00:00,Short,1.5648,1.0,Loss,8
2002-11-15 18:00:00,Short,1.5796,1.0,Loss,8
2002-11-19 11:00:00,Short,1.5877,1.0,Win,8
2002-11-26 19:00:00,Short,1.5505,1.0,Loss,8
2002-11-27 15:00:00,Short,1.5472,1.0,Loss,8
2002-12-02 14:00:00,Short,1.5471,1.0,Loss,8
2002-12-06 17:00:00,Short,1.5749,1.0,Loss,8
2002-12-13 11:00:00,Short,1.5891,1.0,Win,8
2002-12-17 19:00:00,Short,1.5958,1.0,Loss,8
2002-12-31 11:00:00,Short,1.6108,1.0,Win,8
2003-01-02 10:00:00,Short,1.6047,1.0,Win,8
2003-01-08 19:00:00,Short,1.6115,1.0,Loss,8
2003-01-10 16:00:00,Short,1.6098,1.0,Win,8
2003-01-16 20:00:00,Short,1.6125,1.0,Win,8
2003-01-17 22:00:00,Short,1.6132,1.0,Win,8
2003-01-27 17:00:00,Short,1.6328,1.0,Loss,8
2003-01-29 04:00:00,Short,1.6461,1.0,Loss,8
2003-02-05 20:00:00,Short,1.6423,1.0,Win,8
2003-02-06 15:00:00,Short,1.6406,1.0,Win,8
2003-02-17 03:00:00,Short,1.6066,1.0,Win,8
2003-02-21 19:00:00,Short,1.5857,1.0,Win,8
2003-02-25 18:00:00,Short,1.5725,1.0,Loss,8
2003-02-28 15:00:00,Short,1.5781,1.0,Win,8
2003-03-07 01:00:00,Short,1.6012,1.0,Loss,8
2003-03-14 19:00:00,Short,1.5829,1.0,Loss,8
2003-03-17 18:00:00,Short,1.5686,1.0,Win,8
2003-03-19 16:00:00,Short,1.5631,1.0,Loss,8
2003-03-21 18:00:00,Short,1.5662,1.0,Win,8
2003-03-24 10:00:00,Short,1.5719,1.0,Loss,8
2003-03-28 20:00:00,Short,1.5778,1.0,Win,8
2003-04-03 18:00:00,Short,1.5732,1.0,Win,8
2003-04-09 21:00:00,Short,1.5634,1.0,Loss,8
2003-04-10 18:00:00,Short,1.5725,1.0,Loss,8
2003-04-21 18:00:00,Short,1.5641,1.0,Win,8
2003-05-07 17:00:00,Short,1.5972,1.0,Win,8
2003-05-08 13:00:00,Short,1.6024,1.0,Win,8
2003-05-09 13:00:00,Short,1.6035,1.0,Loss,8
2003-05-16 19:00:00,Short,1.6248,1.0,Loss,8
2003-05-19 02:00:00,Short,1.6264,1.0,Loss,8
2003-05-23 13:00:00,Short,1.6417,1.0,Win,8
2003-05-27 19:00:00,Short,1.6403,1.0,Win,8
2003-05-29 15:00:00,Short,1.643,1.0,Loss,8
2003-06-02 02:00:00,Short,1.627,1.0,Loss,8
2003-06-03 22:00:00,Short,1.6283,1.0,Loss,8
2003-06-05 16:00:00,Short,1.6544,1.0,Loss,8
2003-06-06 17:00:00,Short,1.6641,1.0,Win,8
2003-06-09 13:00:00,Short,1.65,1.0,Win,8
2003-06-17 18:00:00,Short,1.689,1.0,Win,8
2003-06-25 23:00:00,Short,1.6722,1.0,Win,8
2003-07-03 17:00:00,Short,1.67,1.0,Win,8
2003-07-10 16:00:00,Short,1.6243,1.0,Loss,8
2003-07-17 17:00:00,Short,1.5871,1.0,Loss,8
2003-07-21 02:00:00,Short,1.579,1.0,Loss,8
2003-08-05 21:00:00,Short,1.6077,1.0,Loss,8
2003-08-21 21:00:00,Short,1.5776,1.0,Win,8
2003-08-26 19:00:00,Short,1.5736,1.0,Win,8
2003-09-04 17:00:00,Short,1.5792,1.0,Loss,8
2003-09-05 17:00:00,Short,1.5876,1.0,Win,8
2003-09-12 17:00:00,Short,1.6052,1.0,Loss,8
2003-09-19 19:00:00,Short,1.6323,1.0,Loss,8
2003-09-22 02:00:00,Short,1.6493,1.0,Win,8
2003-09-22 21:00:00,Short,1.6521,1.0,Win,8
2003-09-23 12:00:00,Short,1.6532,1.0,Loss,8
2003-09-29 12:00:00,Short,1.6469,1.0,Loss,8
2003-09-30 19:00:00,Short,1.6622,1.0,Loss,8
2003-10-13 12:00:00,Short,1.6542,1.0,Loss,8
2003-11-03 18:00:00,Short,1.6794,1.0,Win,8
2003-11-05 18:00:00,Short,1.6784,1.0,Win,8
2003-11-07 18:00:00,Short,1.6712,1.0,Loss,8
2003-11-18 18:00:00,Short,1.7005,1.0,Loss,8
2003-11-26 18:00:00,Short,1.7096,1.0,Loss,8
2003-12-10 13:00:00,Short,1.7441,1.0,Win,8
2003-12-15 01:00:00,Short,1.7388,1.0,Loss,8
2003-12-31 20:00:00,Short,1.7839,1.0,Loss,8
2004-01-07 11:00:00,Short,1.8168,1.0,Loss,8
2004-01-08 15:00:00,Short,1.8319,1.0,Loss,8
2004-01-09 16:00:00,Short,1.8433,1.0,Loss,8
2004-01-13 12:00:00,Short,1.8452,1.0,Win,8
2004-01-14 11:00:00,Short,1.837,1.0,Loss,8
2004-01-16 17:00:00,Short,1.8016,1.0,Win,8
2004-01-19 12:00:00,Short,1.7881,1.0,Win,8
2004-01-20 10:00:00,Short,1.7981,1.0,Loss,8
2004-01-21 09:00:00,Short,1.8254,1.0,Loss,8
2004-01-22 12:00:00,Short,1.8471,1.0,Win,8
2004-01-23 19:00:00,Short,1.822,1.0,Loss,8
2004-01-26 14:00:00,Short,1.8245,1.0,Win,8
2004-01-27 02:00:00,Short,1.8117,1.0,Win,8
2004-01-28 04:00:00,Short,1.8266,1.0,Loss,8
2004-01-29 05:00:00,Short,1.8193,1.0,Loss,8
2004-01-30 16:00:00,Short,1.8176,1.0,Loss,8
2004-02-06 16:00:00,Short,1.8501,1.0,Win,8
2004-02-11 19:00:00,Short,1.8822,1.0,Loss,8
2004-02-13 18:00:00,Short,1.8833,1.0,Loss,8
2004-02-23 03:00:00,Short,1.8564,1.0,Loss,8
2004-02-26 16:00:00,Short,1.8651,1.0,Win,8
2004-03-05 16:00:00,Short,1.8471,1.0,Win,8
2004-03-09 12:00:00,Short,1.8392,1.0,Win,8
2004-03-10 16:00:00,Short,1.8067,1.0,Win,8
2004-03-11 14:00:00,Short,1.806,1.0,Loss,8
2004-03-15 20:00:00,Short,1.8007,1.0,Loss,8
2004-03-26 13:00:00,Short,1.819,1.0,Win,8
2004-04-02 17:00:00,Short,1.8322,1.0,Loss,8
2004-04-13 11:00:00,Short,1.8265,1.0,Win,8
2004-04-15 08:00:00,Short,1.7875,1.0,Win,8
2004-04-21 19:00:00,Short,1.7723,1.0,Win,8
2004-04-29 17:00:00,Short,1.7755,1.0,Win,8
2004-05-04 13:00:00,Short,1.7901,1.0,Win,8
2004-05-07 17:00:00,Short,1.7897,1.0,Win,8
2004-05-14 17:00:00,Short,1.7639,1.0,Win,8
2004-05-19 13:00:00,Short,1.7842,1.0,Win,8
2004-06-04 17:00:00,Short,1.8407,1.0,Win,8
2004-06-10 16:00:00,Short,1.8243,1.0,Loss,8
2004-06-11 11:00:00,Short,1.825,1.0,Win,8
2004-06-15 17:00:00,Short,1.8213,1.0,Loss,8
2004-06-23 12:00:00,Short,1.8174,1.0,Loss,8
2004-07-02 17:00:00,Short,1.8296,1.0,Loss,8
2004-07-16 17:00:00,Short,1.8745,1.0,Loss,8
2004-07-21 14:00:00,Short,1.8414,1.0,Win,8
2004-07-27 19:00:00,Short,1.8225,1.0,Loss,8
2004-07-29 13:00:00,Short,1.815,1.0,Loss,8
2004-07-30 17:00:00,Short,1.8228,1.0,Win,8
2004-08-04 19:00:00,Short,1.8252,1.0,Loss,8
2004-08-06 17:00:00,Short,1.8423,1.0,Loss,8
2004-08-10 23:00:00,Short,1.8267,1.0,Loss,8
2004-08-13 17:00:00,Short,1.8378,1.0,Loss,8
2004-08-17 17:00:00,Short,1.8334,1.0,Win,8
2004-08-24 17:00:00,Short,1.7982,1.0,Win,8
2004-08-31 19:00:00,Short,1.8029,1.0,Loss,8
2004-09-03 17:00:00,Short,1.783,1.0,Win,8
2004-09-08 19:00:00,Short,1.7885,1.0,Win,8
2004-09-10 17:00:00,Short,1.7986,1.0,Loss,8
2004-09-21 23:00:00,Short,1.7982,1.0,Win,8
2004-09-24 17:00:00,Short,1.8059,1.0,Loss,8
2004-09-30 16:00:00,Short,1.8064,1.0,Loss,8
2004-10-01 14:00:00,Short,1.794,1.0,Loss,8
2004-10-06 13:00:00,Short,1.7782,1.0,Loss,8
2004-10-08 17:00:00,Short,1.7931,1.0,Loss,8
2004-10-13 22:00:00,Short,1.7937,1.0,Loss,8
2004-10-15 17:00:00,Short,1.8033,1.0,Loss,8
2004-10-21 13:00:00,Short,1.8295,1.0,Loss,8
2004-10-27 20:00:00,Short,1.8316,1.0,Win,8
2004-10-28 15:00:00,Short,1.8264,1.0,Loss,8
2004-11-03 16:00:00,Short,1.8473,1.0,Loss,8
2004-11-05 16:00:00,Short,1.8434,1.0,Loss,8
2004-11-08 12:00:00,Short,1.8608,1.0,Win,8
2004-11-10 17:00:00,Short,1.8463,1.0,Loss,8
2004-11-19 11:00:00,Short,1.8561,1.0,Loss,8
2004-11-23 13:00:00,Short,1.8695,1.0,Win,8
2004-11-26 11:00:00,Short,1.8906,1.0,Loss,8
2004-11-30 13:00:00,Short,1.9073,1.0,Loss,8
2004-12-02 10:00:00,Short,1.9417,1.0,Win,8
2004-12-03 16:00:00,Short,1.9344,1.0,Loss,8
2004-12-08 09:00:00,Short,1.935,1.0,Win,8
2004-12-09 12:00:00,Short,1.9174,1.0,Loss,8
2004-12-10 12:00:00,Short,1.9052,1.0,Loss,8
2004-12-16 17:00:00,Short,1.9341,1.0,Win,8
2004-12-22 14:00:00,Short,1.916,1.0,Win,8
2004-12-27 18:00:00,Short,1.9369,1.0,Win,8
2004-12-31 18:00:00,Short,1.916,1.0,Loss,8
2005-01-03 09:00:00,Short,1.9119,1.0,Win,8
2005-01-04 18:00:00,Short,1.8836,1.0,Win,8
2005-01-07 18:00:00,Short,1.8699,1.0,Loss,8
2005-01-12 16:00:00,Short,1.8885,1.0,Loss,8
2005-01-21 12:00:00,Short,1.8634,1.0,Loss,8
2005-01-25 18:00:00,Short,1.8643,1.0,Loss,8
2005-02-04 16:00:00,Short,1.8835,1.0,Win,8
2005-02-10 17:00:00,Short,1.8714,1.0,Win,8
2005-02-15 16:00:00,Short,1.8866,1.0,Loss,8
2005-02-24 12:00:00,Short,1.9079,1.0,Loss,8
2005-03-04 16:00:00,Short,1.9208,1.0,Loss,8
