Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2000-07-25 22:00:00,55.8,1.5173,Yes,Short,,,Loss,1.5173,1.5193,1.5133,1.0,1.0
2000-07-26 15:00:00,73.8,1.5173,Yes,Short,,,Loss,1.5173,1.5193,1.5133,1.0,1.0
2000-07-26 18:00:00,73.8,1.5179,Yes,Short,,,Win,1.5179,1.5199,1.5139,1.0,1.0
2000-08-01 12:00:00,1.7,1.4993,Yes,Short,,,Loss,1.4993,1.5013,1.4953,1.0,1.0
2000-08-01 20:00:00,0.0,1.4985,Yes,Short,,,Win,1.4985,1.5005,1.4945,1.0,1.0
2000-08-03 13:00:00,25.0,1.4915,Yes,Short,,,Win,1.4915,1.4935,1.4875,1.0,1.0
2000-08-25 13:00:00,25.0,1.4738,Yes,Short,,,Loss,1.4738,1.4758,1.4698,1.0,1.0
2000-08-29 11:00:00,0.0,1.4647,Yes,Short,,,Win,1.4647,1.4667,1.4607,1.0,1.0
2000-09-07 11:00:00,0.0,1.433,Yes,Short,,,Loss,1.433,1.435,1.429,1.0,1.0
2000-09-07 12:00:00,0.0,1.4353,Yes,Short,,,Loss,1.4353,1.4373,1.4313,1.0,1.0
2000-09-14 12:00:00,25.0,1.4168,Yes,Short,,,Loss,1.4168,1.4188,1.4128,1.0,1.0
2000-09-14 18:00:00,25.0,1.4087,Yes,Short,,,Win,1.4087,1.4107,1.4047,1.0,1.0
2000-09-19 17:00:00,0.0,1.407,Yes,Long,1.0,1.0,Win,1.407,1.405,1.411,,
2000-09-29 12:00:00,94.2,1.4651,Yes,Long,1.0,1.0,Win,1.4651,1.4631,1.4691,,
