UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,Volume_ZScore,Price_ZScore
2015-01-06 10:45:00,Long,25.0,1.52434,2.086558844693198,-1.220930659010054
2015-01-08 10:15:00,Long,0.0,1.50484,1.0013920195928983,-3.015422811715777
2015-01-09 10:15:00,Short,0.0,1.51051,1.75548023891795,2.306993018683144
2015-01-14 10:15:00,Short,0.0,1.5195,1.1662692334896725,2.42822684171711
2015-01-15 10:15:00,Long,25.0,1.52143,0.7156739946586285,-1.940184972654341
2015-01-15 10:45:00,Long,25.0,1.52149,1.2558063681750604,-1.642984331142647
2015-01-16 10:30:00,Short,25.0,1.52102,1.613606657640511,2.5760339309272133
2015-01-27 10:45:00,Short,0.0,1.51111,2.12288619092043,2.0683111657749254
2015-01-28 10:45:00,Short,50.0,1.51861,3.123213098525776,0.9443735956944198
2015-02-03 10:45:00,Long,25.0,1.50089,2.035626844985253,-1.9150166863619427
2015-02-12 10:15:00,Short,82.5,1.52464,1.5947461254324866,1.589997712044514
2015-02-16 10:15:00,Long,83.8,1.54094,2.197768318585662,-0.6511000978638188
2015-02-23 10:45:00,Long,30.5,1.53694,1.3567686467897866,-2.4219856967395765
2015-03-09 10:30:00,Short,0.0,1.50771,2.561022451431621,1.7478971245818422
2015-03-16 10:15:00,Short,0.0,1.47782,2.0895073225004284,2.1737634957519214
2015-03-16 10:30:00,Short,0.0,1.47794,0.5840408026312255,2.1822134583439023
2015-03-17 10:15:00,Short,0.0,1.48397,1.323497142425514,2.71162699134713
2015-03-19 10:15:00,Long,25.0,1.4868,0.761618555037295,-1.7303384529128258
2015-03-23 10:15:00,Long,25.0,1.491,1.653350592959516,-1.6709675333823062
2015-11-05 10:15:00,Short,59.4,1.53923,2.925412317099528,2.7521099314242035
2015-11-09 10:30:00,Short,0.0,1.5084,1.722490170278115,1.8927619460701646
2015-11-10 10:15:00,Long,0.0,1.51001,1.802869656470017,-2.407853773528007
2015-11-16 10:45:00,Long,50.0,1.52025,1.5254823157226642,-1.2973424420617696
2015-11-26 10:30:00,Long,50.0,1.50942,0.9101279843951359,-3.3991655871398607
2015-11-30 10:45:00,Long,25.0,1.50171,2.6743827325295992,-2.3228741820193197
2015-12-01 10:30:00,Short,0.0,1.51074,1.9971038945585888,1.7504731934314262
2015-12-03 10:30:00,Short,0.0,1.49407,1.4463362525032115,0.575036911673964
2015-12-04 10:45:00,Long,50.0,1.51058,0.6047062930962667,-1.4496076149069936
2015-12-07 10:45:00,Long,25.0,1.50752,0.7150251937147668,-2.2169158385333145
2015-12-17 10:30:00,Long,0.0,1.4932,1.6869950130768874,-1.6939220660628562
2016-01-07 10:45:00,Long,25.0,1.45836,1.9709801926419124,-2.9143341380553416
2016-01-19 10:15:00,Short,0.0,1.42971,1.4834026674026863,2.4577340921418847
2016-01-20 10:30:00,Long,25.0,1.41375,2.276832238517181,-1.7981993591867824
2016-02-08 10:15:00,Short,33.9,1.45421,1.7251472083485646,3.4595562569989293
2016-02-12 10:30:00,Short,10.9,1.45034,1.5206334297087893,2.621964332014205
2016-02-15 10:45:00,Long,50.8,1.44929,0.7941883075085905,-1.9017051126111246
2016-02-18 10:45:00,Long,0.0,1.42736,0.8680436036260489,-1.9255262744149242
2016-02-25 10:15:00,Short,25.0,1.39492,2.469628809452093,2.433010235960993
2016-03-01 10:15:00,Short,0.0,1.39532,0.6133990376185404,1.8375415474941903
2016-03-07 10:15:00,Long,57.3,1.41723,0.7511338679803525,-2.7754194375340466
2016-03-10 10:45:00,Short,65.5,1.4215,1.1566516520547931,1.123649102203013
2016-03-14 10:45:00,Long,92.5,1.43698,1.1059385660095855,-1.429530813022142
2016-03-16 10:15:00,Long,68.4,1.40982,1.8590831740053508,-2.8316978883903827
2016-03-23 10:45:00,Long,5.0,1.41716,0.6939743390970943,-2.3728263486251544
2016-10-31 10:15:00,Long,25.0,1.2177,1.8370522715953679,-1.9854307690074582
2016-10-31 10:45:00,Long,25.0,1.2179,1.8374407251240266,-1.4395141966917486
2016-11-03 10:30:00,Short,51.7,1.23439,0.5075050799477865,1.5987192366290228
2016-11-17 10:15:00,Short,26.4,1.24498,2.428892748573538,1.6753214997351284
2016-11-17 10:30:00,Short,26.4,1.24601,0.8494450708971544,2.4590413387262666
2016-11-21 10:30:00,Long,0.0,1.23283,1.9975336643667199,-1.509206266820286
2016-11-25 10:30:00,Long,50.0,1.24257,0.7800548914577253,-2.5468591592189456
2016-11-29 10:45:00,Short,26.3,1.24179,0.7186844841858507,1.651289795620991
2016-12-05 10:15:00,Short,77.3,1.27209,2.1803657149870834,1.3656893433559092
2016-12-05 10:30:00,Short,77.3,1.27291,1.693479735008115,1.6733664574156468
2016-12-05 10:45:00,Short,77.3,1.27108,1.508059437505047,0.8996199738781914
2016-12-07 10:30:00,Long,90.3,1.26256,0.8747400386651105,-2.5087801222561392
2016-12-07 10:45:00,Long,90.3,1.26388,1.2518025394749424,-1.507995940822451
2016-12-08 10:15:00,Long,60.5,1.26323,1.2241475240497244,-0.5175235591598804
2016-12-08 10:30:00,Short,60.5,1.26607,2.830714273264797,1.8632947577028864
2016-12-09 10:45:00,Short,27.0,1.25983,1.184557836224193,2.182163760882628
2016-12-12 10:30:00,Short,14.1,1.25997,0.5187851936636473,1.7598058846123368
2016-12-14 10:15:00,Short,51.2,1.26706,1.2626005812820806,2.2075836417726205
2016-12-14 10:45:00,Short,51.2,1.26738,1.8915491191548746,2.5744629863185775
2016-12-16 10:15:00,Short,0.0,1.24425,1.1909834488673618,2.011539965824494
2017-01-03 10:30:00,Long,25.0,1.22816,0.9834553524568682,-0.8394000876961936
2017-01-04 10:15:00,Short,0.0,1.22721,0.7576117663363459,2.508528122610746
2017-01-04 10:45:00,Short,0.0,1.22591,0.9696085977285879,1.234687052340714
