Datetime_Kyiv,Direction,Entry_Price,Asian_Box_Long,Outcome,Hold_Bars,Asian_Box_Short
2006-03-10 11:00:00,Long,1.7388,1.0,Loss,8,
2006-04-27 12:00:00,Short,1.7846,,Loss,8,1.0
2006-05-23 12:00:00,Short,1.8828,,Win,8,1.0
2006-06-05 12:00:00,Long,1.8863,1.0,Loss,8,
2006-06-22 12:00:00,Short,1.8398,,Win,8,1.0
2006-06-26 12:00:00,Long,1.8212,1.0,Win,8,
2006-07-07 12:00:00,Long,1.8385,1.0,Win,8,
2006-07-17 12:00:00,Short,1.8233,,Win,8,1.0
2006-07-18 12:00:00,Long,1.8249,1.0,Win,8,
2006-08-14 12:00:00,Short,1.8877,,Loss,8,1.0
2006-08-17 12:00:00,Long,1.898,1.0,Loss,8,
2006-08-18 12:00:00,Short,1.8847,,Win,8,1.0
2006-08-23 12:00:00,Long,1.8913,1.0,Win,8,
2006-08-24 12:00:00,Short,1.8938,,Win,8,1.0
2006-09-06 12:00:00,Short,1.891,,Win,8,1.0
2006-09-14 12:00:00,Long,1.8805,1.0,Win,8,
2006-09-15 12:00:00,Short,1.8849,,Win,8,1.0
2006-09-19 12:00:00,Short,1.8793,,Loss,8,1.0
2006-09-22 12:00:00,Long,1.9058,1.0,Loss,8,
2006-10-03 12:00:00,Long,1.8874,1.0,Win,8,
2006-10-19 12:00:00,Long,1.868,1.0,Win,8,
2006-12-21 11:00:00,Long,1.9686,1.0,Loss,8,
2006-12-22 11:00:00,Long,1.9672,1.0,Loss,8,
2007-03-20 11:00:00,Long,1.9479,1.0,Win,8,
2007-03-21 11:00:00,Long,1.9626,1.0,Loss,8,
2007-05-18 12:00:00,Long,1.9717,1.0,Win,8,
2007-05-23 12:00:00,Short,1.976,,Loss,8,1.0
2007-09-04 12:00:00,Short,2.0156,,Win,8,1.0
2007-10-08 12:00:00,Short,2.0374,,Win,8,1.0
2007-12-10 11:00:00,Long,2.042,1.0,Win,8,
2008-04-03 12:00:00,Short,1.9822,,Loss,8,1.0
2008-04-04 12:00:00,Long,2.0018,1.0,Loss,8,
2008-04-17 12:00:00,Long,1.9749,1.0,Win,8,
2008-04-28 12:00:00,Short,1.9826,,Loss,8,1.0
2008-05-02 12:00:00,Long,1.985,1.0,Loss,8,
2008-05-26 12:00:00,Short,1.9775,,Loss,8,1.0
2008-06-27 12:00:00,Short,1.9866,,Loss,8,1.0
2008-08-22 12:00:00,Short,1.8599,,Win,8,1.0
2008-11-06 11:00:00,Long,1.5939,1.0,Loss,8,
2008-11-12 11:00:00,Short,1.5383,,Win,8,1.0
2008-12-03 11:00:00,Short,1.4672,,Loss,8,1.0
2008-12-05 11:00:00,Long,1.4685,1.0,Loss,8,
2008-12-24 11:00:00,Short,1.4768,,Win,8,1.0
2009-01-12 11:00:00,Short,1.4953,,Win,8,1.0
2009-02-12 11:00:00,Short,1.4176,,Loss,8,1.0
2009-02-18 11:00:00,Short,1.4154,,Loss,8,1.0
2009-02-25 11:00:00,Long,1.45,1.0,Loss,8,
2009-03-18 11:00:00,Short,1.3931,,Loss,8,1.0
2009-05-20 12:00:00,Long,1.553,1.0,Win,8,
2009-06-25 12:00:00,Short,1.6309,,Loss,8,1.0
2009-09-10 12:00:00,Short,1.6514,,Loss,8,1.0
2009-12-15 11:00:00,Short,1.6263,,Win,8,1.0
2010-03-11 11:00:00,Long,1.5,1.0,Win,8,
2010-03-16 11:00:00,Short,1.5042,,Loss,8,1.0
2010-06-16 12:00:00,Short,1.4784,,Loss,8,1.0
2010-06-18 12:00:00,Long,1.4873,1.0,Loss,8,
2010-06-23 12:00:00,Long,1.488,1.0,Win,8,
2010-12-13 11:00:00,Short,1.5734,,Loss,8,1.0
2010-12-22 11:00:00,Short,1.5452,,Win,8,1.0
2011-03-04 11:00:00,Short,1.6239,,Loss,8,1.0
2011-03-07 11:00:00,Long,1.6323,1.0,Loss,8,
2011-03-21 11:00:00,Long,1.6238,1.0,Win,8,
2011-03-25 11:00:00,Long,1.607,1.0,Loss,8,
2011-03-28 12:00:00,Short,1.5953,,Loss,8,1.0
2011-04-22 12:00:00,Long,1.6524,1.0,Win,8,
2011-05-16 12:00:00,Long,1.6201,1.0,Win,8,
2011-06-13 12:00:00,Long,1.6257,1.0,Win,8,
2011-07-19 12:00:00,Long,1.6144,1.0,Loss,8,
2011-07-22 12:00:00,Short,1.6291,,Loss,8,1.0
2011-08-24 12:00:00,Short,1.6508,,Win,8,1.0
2011-09-05 12:00:00,Short,1.6121,,Win,8,1.0
2011-12-14 11:00:00,Long,1.55149,1.0,Loss,8,
2012-01-05 11:00:00,Short,1.5565,,Win,8,1.0
2012-01-11 11:00:00,Long,1.54685,1.0,Loss,8,
2012-01-20 11:00:00,Short,1.54558,,Loss,8,1.0
2012-01-26 11:00:00,Long,1.5699,1.0,Win,8,
2012-03-23 11:00:00,Long,1.58744,1.0,Loss,8,
2012-04-03 12:00:00,Short,1.6024,,Win,8,1.0
2012-05-02 12:00:00,Short,1.62139,,Win,8,1.0
2012-05-04 12:00:00,Short,1.61653,,Win,8,1.0
2012-05-22 12:00:00,Long,1.57966,1.0,Loss,8,
2012-06-15 12:00:00,Short,1.55335,,Loss,8,1.0
2012-06-19 12:00:00,Short,1.56323,,Loss,8,1.0
2012-06-25 12:00:00,Short,1.55627,,Loss,8,1.0
2012-06-26 12:00:00,Long,1.56004,1.0,Win,8,
2012-07-04 12:00:00,Short,1.56512,,Win,8,1.0
2012-07-11 12:00:00,Long,1.55561,1.0,Loss,8,
2012-07-19 12:00:00,Long,1.56531,1.0,Win,8,
2012-07-26 12:00:00,Long,1.54793,1.0,Win,8,
2012-07-31 12:00:00,Short,1.56845,,Win,8,1.0
2012-08-01 12:00:00,Long,1.56427,1.0,Loss,8,
2012-08-09 12:00:00,Short,1.5647,,Win,8,1.0
2012-08-10 12:00:00,Short,1.55975,,Loss,8,1.0
2012-08-24 12:00:00,Short,1.58401,,Win,8,1.0
2012-10-09 12:00:00,Short,1.60024,,Win,8,1.0
2012-10-23 12:00:00,Short,1.60125,,Win,8,1.0
2012-10-29 11:00:00,Short,1.60602,,Win,8,1.0
2012-11-22 11:00:00,Long,1.59478,1.0,Loss,8,
2013-01-29 11:00:00,Long,1.57103,1.0,Win,8,
2013-02-04 11:00:00,Long,1.57284,1.0,Win,8,
2013-02-12 11:00:00,Short,1.55832,,Loss,8,1.0
2013-02-28 11:00:00,Long,1.51643,1.0,Win,8,
2013-04-01 12:00:00,Long,1.52091,1.0,Win,8,
2013-04-11 12:00:00,Long,1.5366,1.0,Win,8,
2013-05-09 12:00:00,Long,1.55655,1.0,Loss,8,
2013-05-27 12:00:00,Long,1.51412,1.0,Loss,8,
2013-05-31 12:00:00,Short,1.5223,,Win,8,1.0
2013-07-05 12:00:00,Short,1.49919,,Win,8,1.0
2013-07-30 12:00:00,Long,1.5321,1.0,Loss,8,
2013-08-19 12:00:00,Long,1.5645,1.0,Win,8,
2013-09-04 12:00:00,Long,1.55994,1.0,Win,8,
2013-09-09 12:00:00,Long,1.567,1.0,Win,8,
2013-09-26 12:00:00,Long,1.60509,1.0,Loss,8,
2013-10-03 12:00:00,Short,1.62255,,Win,8,1.0
2013-10-21 12:00:00,Long,1.61714,1.0,Loss,8,
2013-10-28 11:00:00,Long,1.61916,1.0,Loss,8,
2013-12-06 11:00:00,Long,1.63552,1.0,Loss,8,
2014-01-10 11:00:00,Short,1.64139,,Loss,8,1.0
2014-02-13 11:00:00,Long,1.66464,1.0,Loss,8,
2014-02-14 11:00:00,Long,1.67035,1.0,Win,8,
2014-02-26 11:00:00,Long,1.66875,1.0,Loss,8,
2014-03-07 11:00:00,Long,1.67467,1.0,Loss,8,
2014-03-10 11:00:00,Short,1.66997,,Win,8,1.0
2014-03-18 11:00:00,Short,1.6604,,Win,8,1.0
2014-03-21 11:00:00,Short,1.64847,,Loss,8,1.0
2014-03-24 11:00:00,Long,1.64818,1.0,Win,8,
2014-04-02 12:00:00,Long,1.6652,1.0,Loss,8,
2014-05-05 12:00:00,Short,1.68717,,Win,8,1.0
2014-05-15 12:00:00,Short,1.6753,,Loss,8,1.0
2014-05-16 12:00:00,Long,1.68037,1.0,Win,8,
2014-05-29 12:00:00,Short,1.67345,,Win,8,1.0
2014-07-14 12:00:00,Long,1.71177,1.0,Loss,8,
2014-07-16 12:00:00,Long,1.71227,1.0,Win,8,
2014-07-22 12:00:00,Short,1.7063,,Win,8,1.0
2014-07-25 12:00:00,Short,1.69682,,Win,8,1.0
2014-08-15 12:00:00,Short,1.66943,,Win,8,1.0
2014-08-29 12:00:00,Long,1.65971,1.0,Loss,8,
2014-10-22 12:00:00,Short,1.60286,,Loss,8,1.0
2014-10-23 12:00:00,Short,1.60075,,Loss,8,1.0
2014-12-12 11:00:00,Short,1.57076,,Loss,8,1.0
2015-01-09 11:00:00,Long,1.51312,1.0,Win,8,
2015-01-19 11:00:00,Long,1.51639,1.0,Loss,8,
2015-02-18 11:00:00,Long,1.54361,1.0,Loss,8,
2015-02-20 11:00:00,Short,1.53652,,Loss,8,1.0
2015-03-06 11:00:00,Short,1.5199,,Win,8,1.0
2015-03-20 11:00:00,Short,1.4746,,Loss,8,1.0
2015-03-26 11:00:00,Long,1.49579,1.0,Loss,8,
2015-03-27 11:00:00,Short,1.48216,,Loss,8,1.0
2015-03-31 12:00:00,Short,1.47618,,Loss,8,1.0
2015-04-15 12:00:00,Short,1.47093,,Loss,8,1.0
2015-04-17 12:00:00,Long,1.50179,1.0,Loss,8,
2015-05-01 12:00:00,Long,1.52908,1.0,Loss,8,
2015-05-12 12:00:00,Short,1.56342,,Loss,8,1.0
2015-05-13 12:00:00,Long,1.57237,1.0,Win,8,
2015-05-18 12:00:00,Short,1.5665,,Loss,8,1.0
2015-05-19 12:00:00,Short,1.55481,,Win,8,1.0
2015-05-21 12:00:00,Long,1.56619,1.0,Win,8,
2015-05-25 12:00:00,Long,1.54835,1.0,Loss,8,
2015-07-02 12:00:00,Short,1.56034,,Loss,8,1.0
2015-07-24 12:00:00,Short,1.54889,,Loss,8,1.0
2015-07-28 12:00:00,Short,1.55826,,Loss,8,1.0
2015-08-10 12:00:00,Short,1.54715,,Loss,8,1.0
