Datetime_Kyiv,Trend_%,Close_Price,Status,Direction,UA_Hour,In_4h_Bull_FVG,In_4h_Bear_FVG
2015-02-06 10:00:00,65.2,1.53157,True,Long,10,1.0,
2015-02-24 10:00:00,49.9,1.54447,True,Long,10,1.0,
2015-03-16 10:00:00,0.0,1.47736,True,Short,10,,1.0
2015-05-27 10:00:00,0.0,1.54119,True,Short,10,,1.0
2015-05-28 10:00:00,0.0,1.53709,True,Short,10,,1.0
2015-06-19 10:00:00,71.2,1.58644,True,Long,10,1.0,
2015-09-14 10:00:00,59.4,1.54504,True,Long,10,1.0,
2015-10-22 10:00:00,24.2,1.54326,True,Short,10,,1.0
2015-11-26 10:00:00,50.0,1.5083,True,Short,10,,1.0
2015-12-04 10:00:00,50.0,1.51058,True,Long,10,1.0,
2015-12-09 10:00:00,0.0,1.50374,True,Short,10,,1.0
2016-03-29 10:00:00,50.0,1.42268,True,Long,10,1.0,
2016-06-02 10:00:00,0.0,1.44369,True,Short,10,,1.0
2016-06-16 10:00:00,0.0,1.41422,True,Long,10,1.0,
2016-07-07 10:00:00,0.0,1.29621,True,Short,10,,1.0
2016-07-28 10:00:00,25.0,1.31936,True,Long,10,1.0,
2016-11-08 10:00:00,85.8,1.24308,True,Short,10,,1.0
2016-11-09 10:00:00,60.5,1.24257,True,Short,10,,1.0
2017-02-20 10:00:00,25.0,1.24565,True,Short,10,,1.0
2017-04-25 10:00:00,64.6,1.28084,True,Long,10,1.0,
2017-05-29 10:00:00,25.0,1.28294,True,Short,10,,1.0
2017-07-21 10:00:00,27.5,1.29971,True,Short,10,,1.0
2017-08-14 10:00:00,25.0,1.30091,True,Short,10,,1.0
2017-09-19 10:00:00,67.9,1.35308,True,Short,10,,1.0
2017-11-07 10:00:00,25.0,1.31406,True,Long,10,1.0,
2018-01-26 10:00:00,92.3,1.42355,True,Short,10,,1.0
2018-02-22 10:00:00,13.1,1.38963,True,Short,10,,1.0
2018-04-13 10:00:00,60.3,1.42525,True,Long,10,1.0,
2018-05-14 10:00:00,25.0,1.35499,True,Long,10,1.0,
2018-05-28 10:00:00,0.0,1.33303,True,Short,10,,1.0
2018-07-20 10:00:00,0.0,1.30204,True,Short,10,,1.0
2018-08-01 10:00:00,40.1,1.31133,True,Short,10,,1.0
2018-08-09 10:00:00,0.0,1.28732,True,Short,10,,1.0
2018-08-27 10:00:00,27.2,1.2834,True,Long,10,1.0,
2018-11-19 10:00:00,0.0,1.2868,True,Short,10,,1.0
2019-01-23 10:00:00,79.2,1.29776,True,Long,10,1.0,
2019-01-24 10:00:00,80.3,1.3044,True,Long,10,1.0,
2019-02-06 10:00:00,0.0,1.29643,True,Short,10,,1.0
2019-03-26 10:00:00,50.0,1.31871,True,Short,10,,1.0
2019-04-01 10:00:00,0.0,1.30709,True,Short,10,,1.0
2019-04-10 10:00:00,25.0,1.30762,True,Long,10,1.0,
2019-04-17 10:00:00,25.0,1.30507,True,Short,10,,1.0
2019-06-18 10:00:00,0.0,1.25401,True,Short,10,,1.0
2019-06-21 10:00:00,50.0,1.26927,True,Long,10,1.0,
2019-07-08 10:00:00,0.0,1.25204,True,Short,10,,1.0
2019-07-19 10:00:00,0.0,1.25197,True,Long,10,1.0,
2019-08-23 10:00:00,56.0,1.22021,True,Long,10,1.0,
2019-12-11 10:00:00,68.2,1.31377,True,Short,10,,1.0
2019-12-13 10:00:00,61.7,1.34046,True,Long,10,1.0,
2019-12-26 10:00:00,25.0,1.29891,True,Long,10,1.0,
2020-01-21 10:00:00,25.0,1.30124,True,Short,10,,1.0
2020-05-18 10:00:00,0.0,1.21034,True,Short,10,,1.0
2020-06-26 10:00:00,0.0,1.24061,True,Short,10,,1.0
2020-07-30 10:00:00,97.0,1.29547,True,Long,10,1.0,
2020-08-17 10:00:00,50.0,1.31093,True,Long,10,1.0,
2020-11-13 10:00:00,36.2,1.315,True,Short,10,,1.0
2021-02-17 10:00:00,94.4,1.38908,True,Short,10,,1.0
2021-03-25 10:00:00,0.0,1.3683,True,Short,10,,1.0
2021-04-01 10:00:00,50.0,1.37625,True,Long,10,1.0,
2021-04-06 10:00:00,79.6,1.38864,True,Long,10,1.0,
2021-04-27 10:00:00,69.9,1.38863,True,Long,10,1.0,
2021-06-03 10:00:00,3.0,1.41523,True,Long,10,1.0,
2021-07-26 10:00:00,25.0,1.37486,True,Short,10,,1.0
2021-08-18 10:00:00,50.0,1.37436,True,Short,10,,1.0
2021-09-17 10:00:00,0.0,1.37956,True,Short,10,,1.0
2021-09-28 10:00:00,25.0,1.36894,True,Short,10,,1.0
2021-10-21 10:00:00,91.4,1.38055,True,Long,10,1.0,
2021-12-13 10:00:00,50.0,1.32246,True,Long,10,1.0,
2021-12-30 10:00:00,61.7,1.34558,True,Long,10,1.0,
2022-04-05 10:00:00,25.0,1.31352,True,Long,10,1.0,
2022-05-26 10:00:00,66.4,1.25628,True,Long,10,1.0,
2022-06-06 10:00:00,25.0,1.25353,True,Short,10,,1.0
2022-06-15 10:00:00,0.0,1.20321,True,Short,10,,1.0
2022-07-06 10:00:00,0.0,1.1956,True,Short,10,,1.0
2022-08-31 10:00:00,25.0,1.1679,True,Short,10,,1.0
2022-10-12 10:00:00,26.7,1.09934,True,Short,10,,1.0
2022-11-02 10:00:00,33.3,1.15109,True,Short,10,,1.0
2022-11-30 10:00:00,46.3,1.19876,True,Long,10,1.0,
2023-03-27 10:00:00,53.7,1.22453,True,Short,10,,1.0
2023-03-30 10:00:00,83.7,1.23372,True,Long,10,1.0,
2023-04-26 10:00:00,25.0,1.24411,True,Short,10,,1.0
2023-05-01 10:00:00,77.1,1.25476,True,Long,10,1.0,
2023-05-10 10:00:00,59.9,1.26254,True,Short,10,,1.0
2023-06-30 10:00:00,0.0,1.26177,True,Short,10,,1.0
2023-08-07 10:00:00,25.0,1.27226,True,Long,10,1.0,
2023-08-23 10:00:00,63.2,1.27519,True,Short,10,,1.0
2023-10-06 10:00:00,25.0,1.217,True,Long,10,1.0,
2023-10-10 10:00:00,51.1,1.22205,True,Long,10,1.0,
2023-11-13 10:00:00,9.3,1.22402,True,Short,10,,1.0
2023-12-07 10:00:00,0.5,1.25694,True,Short,10,,1.0
2023-12-08 10:00:00,0.0,1.25678,True,Short,10,,1.0
2023-12-26 10:00:00,33.4,1.26892,True,Long,10,1.0,
2024-01-25 10:00:00,25.0,1.27272,True,Long,10,1.0,
2024-01-26 10:00:00,0.3,1.27042,True,Short,10,,1.0
2024-06-24 10:00:00,0.0,1.26506,True,Short,10,,1.0
2024-08-15 10:00:00,35.6,1.28524,True,Short,10,,1.0
2024-08-27 10:00:00,73.2,1.31935,True,Short,10,,1.0
2024-09-09 10:00:00,25.0,1.3102,True,Short,10,,1.0
2024-09-12 10:00:00,25.0,1.30429,True,Short,10,,1.0
2024-10-15 10:00:00,0.0,1.30488,True,Short,10,,1.0
2024-10-21 10:00:00,50.0,1.30281,True,Long,10,1.0,
2024-10-28 10:00:00,50.0,1.29756,True,Long,10,1.0,
2024-11-29 10:00:00,50.0,1.27039,True,Long,10,1.0,
2024-12-19 10:00:00,0.0,1.26476,True,Short,10,,1.0
2025-01-22 10:00:00,50.0,1.23386,True,Long,10,1.0,
2025-02-24 10:00:00,90.7,1.26478,True,Long,10,1.0,
2025-02-26 10:00:00,32.1,1.26512,True,Short,10,,1.0
2025-02-27 10:00:00,82.5,1.26715,True,Long,10,1.0,
2025-03-24 10:00:00,6.3,1.29528,True,Short,10,,1.0
2025-05-27 10:00:00,93.2,1.35472,True,Short,10,,1.0
2025-07-04 10:00:00,48.0,1.36756,True,Short,10,,1.0
2025-07-09 10:00:00,0.0,1.36025,True,Short,10,,1.0
2025-07-18 10:00:00,50.0,1.34314,True,Long,10,1.0,
2025-07-30 10:00:00,0.0,1.33643,True,Short,10,,1.0
2025-08-18 10:00:00,70.9,1.35448,True,Long,10,1.0,
2025-12-10 10:00:00,52.2,1.33183,True,Short,10,,1.0
2026-02-19 10:00:00,0.0,1.35054,True,Short,10,,1.0
2026-02-23 10:00:00,25.0,1.35155,True,Long,10,1.0,
