Datetime_Kyiv,Direction,Entry_Price,CB_Divergence_Long,Outcome,Hold_Bars,CB_Divergence_Short
2022-10-12 15:00:00,Long,1.10513,1.0,Win,8,
2024-08-01 03:00:00,Short,1.28524,,Win,8,1.0
2025-01-15 15:00:00,Short,1.22975,,Win,8,1.0
