Datetime_Kyiv,Trend_%,Close_Price,Status,Direction,First_LDN_PDL_Long,First_LDN_PDH_Short
2015-01-05 10:00:00,25.0,1.53045,True,Long,1.0,
2015-01-06 14:00:00,25.0,1.51924,True,Long,1.0,
2015-01-07 14:00:00,0.0,1.51274,True,Long,1.0,
2015-01-08 12:00:00,0.0,1.50561,True,Long,1.0,
2015-01-12 10:00:00,25.0,1.51138,True,Short,,1.0
2015-01-13 13:00:00,50.0,1.51412,True,Long,1.0,
2015-01-14 11:00:00,0.0,1.5173,True,Short,,1.0
2015-01-23 13:00:00,25.0,1.497,True,Long,1.0,
2015-01-26 12:00:00,0.0,1.50084,True,Short,,1.0
2015-01-27 12:00:00,0.0,1.50722,True,Short,,1.0
2015-01-29 12:00:00,25.0,1.51431,True,Long,1.0,
2015-02-03 11:00:00,50.0,1.50182,True,Long,1.0,
2015-02-10 13:00:00,15.3,1.52134,True,Long,1.0,
2015-02-11 14:00:00,47.6,1.52967,True,Short,,1.0
2015-02-12 14:00:00,80.0,1.53693,True,Long,1.0,
2015-02-16 11:00:00,83.7,1.53948,True,Short,,1.0
2015-02-17 13:00:00,55.6,1.53901,True,Long,1.0,
2015-02-18 14:00:00,26.0,1.54359,True,Short,,1.0
2015-02-25 13:00:00,75.1,1.54971,True,Short,,1.0
2015-02-27 14:00:00,46.4,1.54449,True,Long,1.0,
2015-03-05 10:00:00,0.0,1.52466,True,Long,1.0,
2015-03-10 13:00:00,0.0,1.50773,True,Long,1.0,
2015-03-13 11:00:00,0.0,1.48795,True,Long,1.0,
2015-03-26 14:00:00,5.2,1.49295,True,Short,,1.0
2015-03-27 12:00:00,40.0,1.48675,True,Long,1.0,
2015-04-07 14:00:00,50.0,1.48864,True,Long,1.0,
2015-04-09 14:00:00,28.2,1.4821,True,Long,1.0,
2015-04-10 14:00:00,25.0,1.46247,True,Long,1.0,
2015-04-13 11:00:00,25.0,1.46002,True,Long,1.0,
2015-04-20 14:00:00,50.4,1.49163,True,Short,,1.0
2015-04-21 12:00:00,6.2,1.48799,True,Long,1.0,
2015-04-24 14:00:00,67.7,1.51153,True,Short,,1.0
2015-04-27 11:00:00,92.8,1.51521,True,Short,,1.0
2015-04-29 14:00:00,92.8,1.5368,True,Short,,1.0
2015-05-04 12:00:00,37.3,1.51507,True,Short,,1.0
2015-05-05 14:00:00,19.3,1.51323,True,Long,1.0,
2015-05-06 12:00:00,33.2,1.51751,True,Short,,1.0
2015-05-08 10:00:00,25.0,1.5455,True,Short,,1.0
2015-05-11 13:00:00,50.4,1.54464,True,Long,1.0,
2015-05-13 14:00:00,64.2,1.56825,True,Short,,1.0
2015-05-25 11:00:00,25.0,1.55035,True,Long,1.0,
2015-06-01 11:00:00,0.0,1.52558,True,Short,,1.0
2015-06-03 12:00:00,50.0,1.527,True,Short,,1.0
2015-06-08 12:00:00,25.0,1.52303,True,Short,,1.0
2015-06-09 12:00:00,25.0,1.5291,True,Short,,1.0
2015-06-10 13:00:00,26.1,1.54628,True,Short,,1.0
2015-06-16 13:00:00,85.5,1.557,True,Short,,1.0
2015-06-18 14:00:00,91.8,1.59019,True,Short,,1.0
2015-06-22 12:00:00,71.9,1.58713,True,Short,,1.0
2015-06-23 14:00:00,69.5,1.57778,True,Long,1.0,
2015-06-29 14:00:00,3.0,1.56928,True,Long,1.0,
2015-07-02 13:00:00,0.0,1.56161,True,Long,1.0,
2015-07-03 14:00:00,0.0,1.56333,True,Short,,1.0
2015-07-06 13:00:00,25.0,1.55641,True,Long,1.0,
2015-07-13 10:00:00,50.0,1.55466,True,Long,1.0,
2015-07-14 14:00:00,50.0,1.55725,True,Long,1.0,
2015-07-15 13:00:00,50.0,1.56161,True,Short,,1.0
2015-07-17 13:00:00,30.2,1.56321,True,Short,,1.0
2015-07-20 13:00:00,42.2,1.5556,True,Short,,1.0
2015-07-22 14:00:00,28.0,1.56055,True,Short,,1.0
2015-07-23 13:00:00,47.2,1.56083,True,Short,,1.0
