Datetime_Kyiv,Trend_%,Close_Price,Status,Direction,First_LDN_Counter_Low,First_LDN_Counter_High
2015-01-05 10:00:00,25.0,1.53045,True,Short,1.0,
2015-01-08 12:00:00,0.0,1.50561,True,Short,1.0,
2015-01-09 10:00:00,0.0,1.5116,True,Short,1.0,
2015-01-12 10:00:00,25.0,1.51138,True,Long,,1.0
2015-01-14 11:00:00,0.0,1.5173,True,Long,,1.0
2015-01-16 13:00:00,25.0,1.52025,True,Long,,1.0
2015-01-19 11:00:00,0.9,1.51639,True,Short,1.0,
2015-01-21 10:00:00,30.2,1.51591,True,Long,,1.0
2015-01-22 10:00:00,25.0,1.51497,True,Short,1.0,
2015-01-23 13:00:00,50.0,1.497,True,Short,1.0,
2015-01-26 12:00:00,0.0,1.50084,True,Long,,1.0
2015-01-27 12:00:00,0.0,1.50722,True,Long,,1.0
2015-01-29 12:00:00,25.0,1.51431,True,Short,1.0,
2015-01-30 13:00:00,0.0,1.50806,True,Short,1.0,
2015-02-03 11:00:00,25.0,1.50182,True,Short,1.0,
2015-02-04 09:00:00,25.0,1.516,True,Long,,1.0
2015-02-06 09:00:00,64.7,1.53168,True,Long,,1.0
2015-02-10 13:00:00,16.1,1.52134,True,Short,1.0,
2015-02-16 11:00:00,83.8,1.53948,True,Long,,1.0
2015-02-17 13:00:00,56.2,1.53901,True,Short,1.0,
2015-02-19 11:00:00,76.2,1.5445,True,Long,,1.0
2015-02-24 13:00:00,49.9,1.54461,True,Long,,1.0
2015-02-25 13:00:00,46.7,1.54971,True,Long,,1.0
2015-03-02 09:00:00,18.3,1.53945,True,Long,,1.0
2015-03-05 10:00:00,0.0,1.52466,True,Short,1.0,
2015-03-10 13:00:00,0.0,1.50773,True,Short,1.0,
2015-03-11 09:00:00,0.0,1.50792,True,Short,1.0,
2015-03-13 11:00:00,0.0,1.48795,True,Short,1.0,
2015-03-16 10:00:00,0.0,1.47736,True,Short,1.0,
2015-03-17 11:00:00,0.0,1.47869,True,Long,,1.0
2015-03-19 12:00:00,25.0,1.48967,True,Long,,1.0
2015-03-20 12:00:00,50.0,1.47279,True,Long,,1.0
2015-03-23 09:00:00,25.0,1.49048,True,Long,,1.0
2015-03-24 13:00:00,25.0,1.49242,True,Long,,1.0
2015-03-25 12:00:00,50.6,1.48847,True,Short,1.0,
2015-03-26 09:00:00,6.0,1.48845,True,Short,1.0,
2015-03-27 12:00:00,41.8,1.48675,True,Short,1.0,
2015-03-30 13:00:00,10.6,1.4835,True,Short,1.0,
2015-03-31 10:00:00,4.8,1.47809,True,Short,1.0,
2015-04-01 11:00:00,25.0,1.48343,True,Long,,1.0
2015-04-02 13:00:00,25.0,1.47958,True,Long,,1.0
2015-04-03 11:00:00,25.0,1.48341,True,Long,,1.0
