Datetime,Profile_Type,Close_Price,Price_ZScore
2015-02-03 15:00:00-05:00,Bearish Setup Detected,1.51674,2.5833132051205556
2015-02-05 08:00:00-05:00,Bearish Setup Detected,1.53006,2.7828894017365102
2015-02-05 09:00:00-05:00,Bearish Setup Detected,1.52929,2.510694935313305
2015-02-05 13:00:00-05:00,Bearish Setup Detected,1.53371,2.895296534901869
2015-02-05 14:00:00-05:00,Bearish Setup Detected,1.53316,2.5381574856313356
2015-02-11 04:00:00-05:00,Bearish Setup Detected,1.52925,3.0357565383843688
2015-02-11 05:00:00-05:00,Bearish Setup Detected,1.52905,2.6502606188778457
2015-02-12 05:00:00-05:00,Bearish Setup Detected,1.53221,3.1633776059975958
2015-02-12 06:00:00-05:00,Bearish Setup Detected,1.53378,3.379430469725691
2015-02-12 07:00:00-05:00,Bearish Setup Detected,1.53693,3.793443967993473
2015-02-12 08:00:00-05:00,Bearish Setup Detected,1.53634,3.171199158772606
2015-02-12 09:00:00-05:00,Bearish Setup Detected,1.53596,2.757952623938801
2015-02-12 10:00:00-05:00,Bearish Setup Detected,1.53622,2.5773069256281875
2015-02-12 11:00:00-05:00,Bearish Setup Detected,1.53798,2.729435920494443
2015-02-12 13:00:00-05:00,Bearish Setup Detected,1.5396,2.618756847446188
2015-02-12 14:00:00-05:00,Bearish Setup Detected,1.54096,2.627818014598905
2015-02-16 13:00:00-05:00,Bullish Setup Detected,1.53437,-2.519019796812139
2015-02-18 04:00:00-05:00,Bearish Setup Detected,1.54361,3.9810600413691564
2015-02-18 05:00:00-05:00,Bearish Setup Detected,1.54236,3.154979836773283
2015-02-18 06:00:00-05:00,Bearish Setup Detected,1.54211,2.814064661705129
2015-02-18 07:00:00-05:00,Bearish Setup Detected,1.54359,3.124733571898931
2015-02-18 08:00:00-05:00,Bearish Setup Detected,1.54293,2.5821295795387016
2015-02-18 10:00:00-05:00,Bearish Setup Detected,1.5446,2.752769145313931
2015-02-20 04:00:00-05:00,Bullish Setup Detected,1.53652,-3.2762026841895944
2015-02-20 05:00:00-05:00,Bullish Setup Detected,1.53697,-3.1172727169551018
2015-02-20 06:00:00-05:00,Bullish Setup Detected,1.53671,-2.8944042057562926
2015-02-20 09:00:00-05:00,Bullish Setup Detected,1.53575,-2.64035716956996
2015-03-02 10:00:00-05:00,Bullish Setup Detected,1.53607,-2.748570989188493
2015-03-04 08:00:00-05:00,Bullish Setup Detected,1.53253,-2.579010676643516
2015-03-04 09:00:00-05:00,Bullish Setup Detected,1.52976,-3.694448729339315
2015-03-04 10:00:00-05:00,Bullish Setup Detected,1.52688,-4.214202652025297
2015-03-04 11:00:00-05:00,Bullish Setup Detected,1.52645,-3.6964604636216003
2015-03-04 12:00:00-05:00,Bullish Setup Detected,1.52627,-3.257451798827837
2015-03-04 13:00:00-05:00,Bullish Setup Detected,1.52526,-3.1510582898193986
2015-03-04 14:00:00-05:00,Bullish Setup Detected,1.52604,-2.633218111442986
2015-03-06 08:00:00-05:00,Bullish Setup Detected,1.51315,-3.4387274924974247
2015-03-06 09:00:00-05:00,Bullish Setup Detected,1.50651,-4.461331214785242
2015-03-06 10:00:00-05:00,Bullish Setup Detected,1.5061,-3.883031948560877
2015-03-06 11:00:00-05:00,Bullish Setup Detected,1.50614,-3.3691914469268402
2015-03-06 12:00:00-05:00,Bullish Setup Detected,1.50587,-3.0256557427554855
2015-03-06 13:00:00-05:00,Bullish Setup Detected,1.50576,-2.7434736702530884
2015-03-06 14:00:00-05:00,Bullish Setup Detected,1.50467,-2.6526254687565776
2015-03-11 09:00:00-04:00,Bullish Setup Detected,1.50151,-2.7329402305328476
2015-03-11 10:00:00-04:00,Bullish Setup Detected,1.49582,-4.034701988990878
2015-03-11 11:00:00-04:00,Bullish Setup Detected,1.49439,-3.7336464609443394
2015-03-11 12:00:00-04:00,Bullish Setup Detected,1.49452,-3.211006500906329
2015-03-11 13:00:00-04:00,Bullish Setup Detected,1.49127,-3.4293657184367135
2015-03-11 14:00:00-04:00,Bullish Setup Detected,1.4935,-2.666247406548539
2015-03-13 09:00:00-04:00,Bullish Setup Detected,1.47218,-3.142657550448985
2015-03-13 10:00:00-04:00,Bullish Setup Detected,1.4734,-2.7537115896968682
2015-03-18 05:00:00-04:00,Bullish Setup Detected,1.46729,-2.984884284807309
2015-03-18 06:00:00-04:00,Bullish Setup Detected,1.46774,-2.5983640904985483
2015-03-18 07:00:00-04:00,Bullish Setup Detected,1.46371,-3.147468856792609
2015-03-18 08:00:00-04:00,Bullish Setup Detected,1.46383,-2.7967705789947743
2015-03-18 15:00:00-04:00,Bearish Setup Detected,1.49475,2.9800706117767493
2015-03-18 16:00:00-04:00,Bearish Setup Detected,1.49764,3.091776708038242
2015-03-18 17:00:00-04:00,Bearish Setup Detected,1.49574,2.5894654507727886
2015-03-24 14:00:00-04:00,Bullish Setup Detected,1.48433,-2.6139878651312425
2015-04-03 08:00:00-04:00,Bearish Setup Detected,1.49252,4.6027482315190795
2015-04-03 09:00:00-04:00,Bearish Setup Detected,1.49085,3.4877100473871505
2015-04-03 10:00:00-04:00,Bearish Setup Detected,1.49179,3.403258941535346
